#hypernode	nodes
http://pathwaycommons.org/pc12/Complex_d83dfba4780deaf71d6439f80ed78e09	http://pathwaycommons.org/pc12/Protein_9a3dea8365b019bcdc76a13a8ef20bae;http://pathwaycommons.org/pc12/Protein_4d0bc1ac10e209f0f724ffc21af882bf;http://pathwaycommons.org/pc12/Protein_2e443f454d3b0b7b077fdbeda0f75e51;http://pathwaycommons.org/pc12/Protein_fc2abf1f543d769fa31aac227895554a;http://pathwaycommons.org/pc12/Protein_6e85e41ceb217f2cc2bfd3d348ce1805
http://pathwaycommons.org/pc12/Complex_edcbd4237f78d7f5bcb672b309d7b6fc	http://pathwaycommons.org/pc12/Protein_9a3dea8365b019bcdc76a13a8ef20bae;http://pathwaycommons.org/pc12/Protein_177d8c5b4117075fa46b561c4b6f951c;http://pathwaycommons.org/pc12/Protein_e9e784b0f90d12f18c154dce7f908817;http://pathwaycommons.org/pc12/Protein_fc2abf1f543d769fa31aac227895554a;http://pathwaycommons.org/pc12/Protein_df167e39fb4c479b21085f874e9dd727;http://pathwaycommons.org/pc12/Protein_4d0bc1ac10e209f0f724ffc21af882bf;http://pathwaycommons.org/pc12/Protein_2e443f454d3b0b7b077fdbeda0f75e51;http://pathwaycommons.org/pc12/Protein_1b1eff1a20f84caf5394d06ecb1676dd;http://pathwaycommons.org/pc12/Protein_6e85e41ceb217f2cc2bfd3d348ce1805
http://pathwaycommons.org/pc12/Complex_ecae723e092582d0dbd7ff7c6ca4098a	http://pathwaycommons.org/pc12/Protein_3daaf72b7373f1731f1c37490ca2a0c8;http://pathwaycommons.org/pc12/Protein_8ee380005c5683f4ece634ff05ae4c71;http://pathwaycommons.org/pc12/Protein_66d8b9c4df476f873f1be76936423f1d
http://pathwaycommons.org/pc12/Complex_10a1297b4e3bb163fb726fb59948c315	http://pathwaycommons.org/pc12/Protein_b165c3794b606bc173a32b18c12b16bb;http://pathwaycommons.org/pc12/Protein_b3bfbd72d8609591355de50c34aed639;http://pathwaycommons.org/pc12/Protein_491cc8e45082812d1501c78148a1c730;http://pathwaycommons.org/pc12/Protein_47a34736583e72080d41646380c30db9
http://pathwaycommons.org/pc12/Protein_931dac6862ced6c13973d46de9524c87	http://pathwaycommons.org/pc12/Protein_931dac6862ced6c13973d46de9524c87
http://pathwaycommons.org/pc12/SmallMolecule_84b9631c818fb65abda3776e4dc9d3d1	http://pathwaycommons.org/pc12/SmallMolecule_84b9631c818fb65abda3776e4dc9d3d1
http://pathwaycommons.org/pc12/Protein_225e5de9f8de0a0611bf6775d57cd3a9	http://pathwaycommons.org/pc12/Protein_225e5de9f8de0a0611bf6775d57cd3a9
http://pathwaycommons.org/pc12/Protein_1b3c6fe6d9b111246b913953ad6a219c	http://pathwaycommons.org/pc12/Protein_1b3c6fe6d9b111246b913953ad6a219c
http://pathwaycommons.org/pc12/Protein_4133aad4013f6c5dd7d54282fede8b04	http://pathwaycommons.org/pc12/Protein_4133aad4013f6c5dd7d54282fede8b04
http://pathwaycommons.org/pc12/Protein_ad53bd3aa99d00406f90a5a0d2d4cfb1	http://pathwaycommons.org/pc12/Protein_ad53bd3aa99d00406f90a5a0d2d4cfb1
http://pathwaycommons.org/pc12/Protein_cde6ace75b8a42309f64f93d8a9b8842	http://pathwaycommons.org/pc12/Protein_cde6ace75b8a42309f64f93d8a9b8842
http://pathwaycommons.org/pc12/Protein_18462cc296a4866dbdc9abbb32c185be	http://pathwaycommons.org/pc12/Protein_18462cc296a4866dbdc9abbb32c185be
http://pathwaycommons.org/pc12/Protein_2083a40331290b57281982ff88fb2dc3	http://pathwaycommons.org/pc12/Protein_2083a40331290b57281982ff88fb2dc3
http://pathwaycommons.org/pc12/Protein_47a34736583e72080d41646380c30db9	http://pathwaycommons.org/pc12/Protein_47a34736583e72080d41646380c30db9
http://pathwaycommons.org/pc12/Protein_bffdd9ab7d27c1f184f0ade5b66ece3e	http://pathwaycommons.org/pc12/Protein_bffdd9ab7d27c1f184f0ade5b66ece3e
http://pathwaycommons.org/pc12/SmallMolecule_21d1714b69eec47d13f1ee5f51c33ad7	http://pathwaycommons.org/pc12/SmallMolecule_21d1714b69eec47d13f1ee5f51c33ad7
http://pathwaycommons.org/pc12/Protein_0300afb1dd7a88cff28a5757773b02c3	http://pathwaycommons.org/pc12/Protein_0300afb1dd7a88cff28a5757773b02c3
http://pathwaycommons.org/pc12/Protein_ad21f1ea4b63b14ceaa48217088bf7a3	http://pathwaycommons.org/pc12/Protein_ad21f1ea4b63b14ceaa48217088bf7a3
http://pathwaycommons.org/pc12/Protein_6f79adb30194e28da2ae39865a1fdb72	http://pathwaycommons.org/pc12/Protein_6f79adb30194e28da2ae39865a1fdb72
http://pathwaycommons.org/pc12/Protein_9b9b30616bf3297d2cb2820f79254e96	http://pathwaycommons.org/pc12/Protein_9b9b30616bf3297d2cb2820f79254e96
http://pathwaycommons.org/pc12/Protein_588d263f9d1a0ab724f9359ff651fa09	http://pathwaycommons.org/pc12/Protein_588d263f9d1a0ab724f9359ff651fa09
http://pathwaycommons.org/pc12/Protein_057f377dada10503459cdf9f961b4c30	http://pathwaycommons.org/pc12/Protein_057f377dada10503459cdf9f961b4c30
http://pathwaycommons.org/pc12/Protein_3daaf72b7373f1731f1c37490ca2a0c8	http://pathwaycommons.org/pc12/Protein_3daaf72b7373f1731f1c37490ca2a0c8
http://pathwaycommons.org/pc12/Protein_701b73e0f1a4abb1a19402672f4603ed	http://pathwaycommons.org/pc12/Protein_701b73e0f1a4abb1a19402672f4603ed
http://pathwaycommons.org/pc12/Protein_01eb212d3406e9cb95f7664c39d72ea8	http://pathwaycommons.org/pc12/Protein_01eb212d3406e9cb95f7664c39d72ea8
http://pathwaycommons.org/pc12/Protein_080bedac25a953aaed44c3b170df7743	http://pathwaycommons.org/pc12/Protein_080bedac25a953aaed44c3b170df7743
http://pathwaycommons.org/pc12/Protein_7969fa029e64c29751133e080d84c5d4	http://pathwaycommons.org/pc12/Protein_7969fa029e64c29751133e080d84c5d4
http://pathwaycommons.org/pc12/Protein_4f452f3a42a8778dce9c685e5c0396ce	http://pathwaycommons.org/pc12/Protein_4f452f3a42a8778dce9c685e5c0396ce
http://pathwaycommons.org/pc12/Protein_715c9170c6a9d253f30c2a31944ad857	http://pathwaycommons.org/pc12/Protein_715c9170c6a9d253f30c2a31944ad857
http://pathwaycommons.org/pc12/Protein_32bdd4dd430ea3f4747315d0da2f90c5	http://pathwaycommons.org/pc12/Protein_32bdd4dd430ea3f4747315d0da2f90c5
http://pathwaycommons.org/pc12/Protein_ed10a038daf55dfec2a8509b22d01115	http://pathwaycommons.org/pc12/Protein_ed10a038daf55dfec2a8509b22d01115
http://pathwaycommons.org/pc12/Protein_a6e53ce1b73470411137618bc9c55359	http://pathwaycommons.org/pc12/Protein_a6e53ce1b73470411137618bc9c55359
http://pathwaycommons.org/pc12/Protein_2509a39f4ab94bcba483e34317b17e7e	http://pathwaycommons.org/pc12/Protein_2509a39f4ab94bcba483e34317b17e7e
http://pathwaycommons.org/pc12/Protein_1effd45d0f6f4ca95e0a4a6986650ade	http://pathwaycommons.org/pc12/Protein_1effd45d0f6f4ca95e0a4a6986650ade
http://pathwaycommons.org/pc12/Protein_c698782aee56b1e324ad7edd88ea8c1a	http://pathwaycommons.org/pc12/Protein_c698782aee56b1e324ad7edd88ea8c1a
http://pathwaycommons.org/pc12/Protein_169c9bb5c383a8244759a3a6b3f2a1f6	http://pathwaycommons.org/pc12/Protein_169c9bb5c383a8244759a3a6b3f2a1f6
http://pathwaycommons.org/pc12/Protein_ed309904e2cf1c8e6c9a34f23bc67161	http://pathwaycommons.org/pc12/Protein_ed309904e2cf1c8e6c9a34f23bc67161
http://pathwaycommons.org/pc12/Protein_f972e668ca172e9369c82b875ab853dd	http://pathwaycommons.org/pc12/Protein_f972e668ca172e9369c82b875ab853dd
http://pathwaycommons.org/pc12/Protein_1b1eff1a20f84caf5394d06ecb1676dd	http://pathwaycommons.org/pc12/Protein_1b1eff1a20f84caf5394d06ecb1676dd
http://pathwaycommons.org/pc12/Protein_66e8d1f9dfd812502261e38c15c33a09	http://pathwaycommons.org/pc12/Protein_66e8d1f9dfd812502261e38c15c33a09
http://pathwaycommons.org/pc12/Protein_6ba5893b2691fb91e69df4a7c952003f	http://pathwaycommons.org/pc12/Protein_6ba5893b2691fb91e69df4a7c952003f
http://pathwaycommons.org/pc12/Protein_31113043401fb06b2ecacd95960e71f8	http://pathwaycommons.org/pc12/Protein_31113043401fb06b2ecacd95960e71f8
http://pathwaycommons.org/pc12/Protein_481fd9fedd4e8f9f4b37cb976b474c10	http://pathwaycommons.org/pc12/Protein_481fd9fedd4e8f9f4b37cb976b474c10
http://pathwaycommons.org/pc12/Protein_df167e39fb4c479b21085f874e9dd727	http://pathwaycommons.org/pc12/Protein_df167e39fb4c479b21085f874e9dd727
http://pathwaycommons.org/pc12/Protein_c798a51e148128550d7d2d8c6b0eedee	http://pathwaycommons.org/pc12/Protein_c798a51e148128550d7d2d8c6b0eedee
http://pathwaycommons.org/pc12/Protein_448c2be1c6f3deb1ac8955105d6fa346	http://pathwaycommons.org/pc12/Protein_448c2be1c6f3deb1ac8955105d6fa346
http://pathwaycommons.org/pc12/Protein_9e1d392d43b9feb7bcbf4808c43211c4	http://pathwaycommons.org/pc12/Protein_9e1d392d43b9feb7bcbf4808c43211c4
http://pathwaycommons.org/pc12/Protein_c3b073af794102ea32b98c6415a34f6a	http://pathwaycommons.org/pc12/Protein_c3b073af794102ea32b98c6415a34f6a
http://pathwaycommons.org/pc12/Protein_94d260fcf395242b2a6e6dda5998a993	http://pathwaycommons.org/pc12/Protein_94d260fcf395242b2a6e6dda5998a993
http://pathwaycommons.org/pc12/Protein_fc5ee5f1e589b7b028c41edd08cf0798	http://pathwaycommons.org/pc12/Protein_fc5ee5f1e589b7b028c41edd08cf0798
http://pathwaycommons.org/pc12/Protein_e6ec92f4c2da69504e27658a960fffae	http://pathwaycommons.org/pc12/Protein_e6ec92f4c2da69504e27658a960fffae
http://pathwaycommons.org/pc12/Protein_0c2e7017f5e842d582e894a80c7e2992	http://pathwaycommons.org/pc12/Protein_0c2e7017f5e842d582e894a80c7e2992
http://pathwaycommons.org/pc12/Protein_62aad10270f7ebf00fb5827e3af3099e	http://pathwaycommons.org/pc12/Protein_62aad10270f7ebf00fb5827e3af3099e
http://pathwaycommons.org/pc12/Protein_bff58f487656418d82434c239973375f	http://pathwaycommons.org/pc12/Protein_bff58f487656418d82434c239973375f
http://pathwaycommons.org/pc12/Protein_9166f8335c1e6e49cfbd4726d586d01b	http://pathwaycommons.org/pc12/Protein_9166f8335c1e6e49cfbd4726d586d01b
http://pathwaycommons.org/pc12/Protein_041f7a2846c034ed025e98d726cbb7b9	http://pathwaycommons.org/pc12/Protein_041f7a2846c034ed025e98d726cbb7b9
http://pathwaycommons.org/pc12/Protein_d9b36f286d628d90887fd3675c3e0770	http://pathwaycommons.org/pc12/Protein_d9b36f286d628d90887fd3675c3e0770
http://pathwaycommons.org/pc12/Protein_61485a483558e575ef35bb8277efd2b0	http://pathwaycommons.org/pc12/Protein_61485a483558e575ef35bb8277efd2b0
http://pathwaycommons.org/pc12/Protein_93041ee5696425b044a9f1c0dab55e4e	http://pathwaycommons.org/pc12/Protein_93041ee5696425b044a9f1c0dab55e4e
http://pathwaycommons.org/pc12/Protein_491cc8e45082812d1501c78148a1c730	http://pathwaycommons.org/pc12/Protein_491cc8e45082812d1501c78148a1c730
http://pathwaycommons.org/pc12/Protein_c0c7967fead219f5a019802abb7f2294	http://pathwaycommons.org/pc12/Protein_c0c7967fead219f5a019802abb7f2294
http://pathwaycommons.org/pc12/Protein_2b5d287e5ce4274dfc806e14f77df246	http://pathwaycommons.org/pc12/Protein_2b5d287e5ce4274dfc806e14f77df246
http://pathwaycommons.org/pc12/SmallMolecule_c4bc28d10fa9bbdf311182463f74550d	http://pathwaycommons.org/pc12/SmallMolecule_c4bc28d10fa9bbdf311182463f74550d
http://pathwaycommons.org/pc12/Protein_0c0d5a141fe1f323fa400a7643d08e42	http://pathwaycommons.org/pc12/Protein_0c0d5a141fe1f323fa400a7643d08e42
http://pathwaycommons.org/pc12/Protein_abc10fb073dfcafaa50d0a4546075941	http://pathwaycommons.org/pc12/Protein_abc10fb073dfcafaa50d0a4546075941
http://pathwaycommons.org/pc12/Protein_85c8882326559a10802c3de3de5b6e38	http://pathwaycommons.org/pc12/Protein_85c8882326559a10802c3de3de5b6e38
http://pathwaycommons.org/pc12/Protein_90a8560c1ed81c0465683b0f5164a1ce	http://pathwaycommons.org/pc12/Protein_90a8560c1ed81c0465683b0f5164a1ce
http://pathwaycommons.org/pc12/Protein_2e443f454d3b0b7b077fdbeda0f75e51	http://pathwaycommons.org/pc12/Protein_2e443f454d3b0b7b077fdbeda0f75e51
http://pathwaycommons.org/pc12/Protein_dbd8971c9e5b09534e6e2efce14a85a3	http://pathwaycommons.org/pc12/Protein_dbd8971c9e5b09534e6e2efce14a85a3
http://pathwaycommons.org/pc12/Protein_6e85e41ceb217f2cc2bfd3d348ce1805	http://pathwaycommons.org/pc12/Protein_6e85e41ceb217f2cc2bfd3d348ce1805
http://pathwaycommons.org/pc12/Protein_63e9f1fc0c57e100a123438a654fbe7f	http://pathwaycommons.org/pc12/Protein_63e9f1fc0c57e100a123438a654fbe7f
http://pathwaycommons.org/pc12/Protein_870650a58ad79c62ec337a32d5cd04a3	http://pathwaycommons.org/pc12/Protein_870650a58ad79c62ec337a32d5cd04a3
http://pathwaycommons.org/pc12/Protein_04ba2ab260b63c8ffae863656d3a79f6	http://pathwaycommons.org/pc12/Protein_04ba2ab260b63c8ffae863656d3a79f6
http://pathwaycommons.org/pc12/Protein_27705eb058e8f49cfb5771d5a8498324	http://pathwaycommons.org/pc12/Protein_27705eb058e8f49cfb5771d5a8498324
http://pathwaycommons.org/pc12/Protein_384fe281935f8087f3f15039e62393fd	http://pathwaycommons.org/pc12/Protein_384fe281935f8087f3f15039e62393fd
http://pathwaycommons.org/pc12/Protein_b3bfbd72d8609591355de50c34aed639	http://pathwaycommons.org/pc12/Protein_b3bfbd72d8609591355de50c34aed639
http://pathwaycommons.org/pc12/Protein_4da7bae5b543dfeb4b0a89fcba31cc5c	http://pathwaycommons.org/pc12/Protein_4da7bae5b543dfeb4b0a89fcba31cc5c
http://pathwaycommons.org/pc12/Protein_35b7ecb6180bea2185f71899ae66a0ad	http://pathwaycommons.org/pc12/Protein_35b7ecb6180bea2185f71899ae66a0ad
http://pathwaycommons.org/pc12/Protein_053de3bf8a0aaa8c52ab670fa5573290	http://pathwaycommons.org/pc12/Protein_053de3bf8a0aaa8c52ab670fa5573290
http://pathwaycommons.org/pc12/Protein_5018f62424a47fbb4cfdfd5fa2c5d588	http://pathwaycommons.org/pc12/Protein_5018f62424a47fbb4cfdfd5fa2c5d588
http://pathwaycommons.org/pc12/SmallMolecule_e9bcb452fc7ee059dc684e53e596e6e6	http://pathwaycommons.org/pc12/SmallMolecule_e9bcb452fc7ee059dc684e53e596e6e6
http://pathwaycommons.org/pc12/SmallMolecule_d9d811e9536142ed4fbe2ad0736679b3	http://pathwaycommons.org/pc12/SmallMolecule_d9d811e9536142ed4fbe2ad0736679b3
http://pathwaycommons.org/pc12/SmallMolecule_3872cf725da09607e31614a53a1fef48	http://pathwaycommons.org/pc12/SmallMolecule_3872cf725da09607e31614a53a1fef48
http://pathwaycommons.org/pc12/Protein_79181033ef73bd645d1a060c9d850a1c	http://pathwaycommons.org/pc12/Protein_79181033ef73bd645d1a060c9d850a1c
http://pathwaycommons.org/pc12/Protein_6876cd443878ab0fa5a75bf044ec8198	http://pathwaycommons.org/pc12/Protein_6876cd443878ab0fa5a75bf044ec8198
http://pathwaycommons.org/pc12/Protein_61f57b32ccc1d86e4827936ad328a7ba	http://pathwaycommons.org/pc12/Protein_61f57b32ccc1d86e4827936ad328a7ba
http://pathwaycommons.org/pc12/Protein_f68ff0fefa4e923d288d54fd2f3d447e	http://pathwaycommons.org/pc12/Protein_f68ff0fefa4e923d288d54fd2f3d447e
http://pathwaycommons.org/pc12/Protein_7647cc2ee05175a781c280d5d8a4a324	http://pathwaycommons.org/pc12/Protein_7647cc2ee05175a781c280d5d8a4a324
http://pathwaycommons.org/pc12/Protein_5071f454cb36e957d98f428e65b05cdc	http://pathwaycommons.org/pc12/Protein_5071f454cb36e957d98f428e65b05cdc
http://pathwaycommons.org/pc12/Protein_b51604cd6f0e051bfcb3c0c9866f78fc	http://pathwaycommons.org/pc12/Protein_b51604cd6f0e051bfcb3c0c9866f78fc
http://pathwaycommons.org/pc12/Protein_177d8c5b4117075fa46b561c4b6f951c	http://pathwaycommons.org/pc12/Protein_177d8c5b4117075fa46b561c4b6f951c
