#Tail	Head	PosReg	NegReg	ID
None	http://pathwaycommons.org/pc12/Pathway_2f0ad02b10736606540e8b5b6ec68060	http://pathwaycommons.org/pc12/Complex_9617217ea6374e7455540fb9d9fb18da	None	new_http://pathwaycommons.org/pc12/Control_693de1840839a99621fa490db3d9ccfb
http://pathwaycommons.org/pc12/Complex_c475ef3f9ace73fd0c81a90b87c23a2c;http://pathwaycommons.org/pc12/Protein_30daf1c04df5d18288476afce89a4d3c	http://pathwaycommons.org/pc12/Complex_9617217ea6374e7455540fb9d9fb18da	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_51b060163d496f28ba48a27aed2257e8
None	http://pathwaycommons.org/pc12/Pathway_c14e5f0639e0035f3207ddc43f24e9bf	http://pathwaycommons.org/pc12/Complex_9bedec822404e8486b578e16e9d53bf4	None	new_http://pathwaycommons.org/pc12/Control_c8b62de377d942f8790e0047fc97c969
http://pathwaycommons.org/pc12/Protein_6cf427554cd48a9f98a81bd8563c3b8d;http://pathwaycommons.org/pc12/Protein_d15412589e8d15af5d3ef6c4d5899862	http://pathwaycommons.org/pc12/Complex_70eefbd1625dd13608cc987b1694a6e5	http://pathwaycommons.org/pc12/Pathway_1575b4f726ca55e58c7c9f6f584520e2	None	http://pathwaycommons.org/pc12/ComplexAssembly_42ca86593f4b6d98cca3e506bdf81080
None	http://pathwaycommons.org/pc12/Pathway_6a4dfd13e832ad165b32aa9479906504	http://pathwaycommons.org/pc12/Complex_9bedec822404e8486b578e16e9d53bf4	None	new_http://pathwaycommons.org/pc12/Control_7a7a0cac5ba84b5a0bb5170f4652728d
http://pathwaycommons.org/pc12/SmallMolecule_bd44b938f035283d8d17fc5e9cbc10ce	http://pathwaycommons.org/pc12/SmallMolecule_f4d1e5a02bdb9794e51f159bc0ca604b	http://pathwaycommons.org/pc12/Protein_3fc12c5373c22c98797a3a044deac161	None	http://pathwaycommons.org/pc12/BiochemicalReaction_91b6c4f3f3b14b16118405f065f6b58b
None	http://pathwaycommons.org/pc12/Pathway_2666fa7bdbb51d512f84c3ad2ddfa885	http://pathwaycommons.org/pc12/Protein_7e12020f282a9689a5ecee309aec626c	None	new_http://pathwaycommons.org/pc12/Control_3f890e54ff16af59d53099d3a345c276
http://pathwaycommons.org/pc12/Complex_cf85cd3e260775e0ea1e6c0a17341670;http://pathwaycommons.org/pc12/SmallMolecule_15ce442c71e643932dc9f92fae134719	http://pathwaycommons.org/pc12/Complex_bb2d816638bf48b96eebb99be3d41d74;http://pathwaycommons.org/pc12/SmallMolecule_d9d811e9536142ed4fbe2ad0736679b3	http://pathwaycommons.org/pc12/Complex_2161170cb3891038fa5a06720b8225c7	None	http://pathwaycommons.org/pc12/BiochemicalReaction_cd6bad1a537594a4a0e9a9929d94a5a3
None	http://pathwaycommons.org/pc12/Pathway_40d1c7b900720716ccdb921434b4705b	None	http://pathwaycommons.org/pc12/Complex_bb2d816638bf48b96eebb99be3d41d74	new_http://pathwaycommons.org/pc12/Control_7c32d7e101c1284cc47651d6763df1be
None	http://pathwaycommons.org/pc12/Pathway_2bed96969c190975473e8e9ba86595eb	http://pathwaycommons.org/pc12/Complex_bb2d816638bf48b96eebb99be3d41d74	None	new_http://pathwaycommons.org/pc12/Control_9b69e7da515541961bc0a80b77e5eb7d
http://pathwaycommons.org/pc12/Protein_ff16c7291348487947e734ad588bf388	http://pathwaycommons.org/pc12/Protein_d5c84bb340f428a9dad5f64f7ec37074	http://pathwaycommons.org/pc12/Pathway_53b9429d88da349d8f9718b0b3d955f5;http://pathwaycommons.org/pc12/Complex_2161170cb3891038fa5a06720b8225c7	None	http://pathwaycommons.org/pc12/TransportWithBiochemicalReaction_84b8b05535b5ce8073dbfc61bd990803
http://pathwaycommons.org/pc12/Complex_2161170cb3891038fa5a06720b8225c7;http://pathwaycommons.org/pc12/Protein_ae98904276a965704b7775f5fd1e3893	http://pathwaycommons.org/pc12/Complex_617777045b4350a61f4baf176daeeee5	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_a45b426549e79c71fed5bae93bfefc9f
http://pathwaycommons.org/pc12/Complex_4b0a5285a24c292b77b9d6f9f10e95c7;http://pathwaycommons.org/pc12/SmallMolecule_15ce442c71e643932dc9f92fae134719	http://pathwaycommons.org/pc12/Complex_9bedec822404e8486b578e16e9d53bf4;http://pathwaycommons.org/pc12/SmallMolecule_d9d811e9536142ed4fbe2ad0736679b3	http://pathwaycommons.org/pc12/Complex_617777045b4350a61f4baf176daeeee5	None	http://pathwaycommons.org/pc12/BiochemicalReaction_9863727a112580a1b82af457a920c2af
http://pathwaycommons.org/pc12/Complex_2161170cb3891038fa5a06720b8225c7;http://pathwaycommons.org/pc12/Protein_0895704cf19cffe931086fec958cb2fc	http://pathwaycommons.org/pc12/Complex_955d2621fd9361d6464edf937634fa13	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_e12eb0cab8340fc1ee0c55b2ba9ed273
http://pathwaycommons.org/pc12/Protein_74e9d3a33c252899067dabb4ef47ad11	http://pathwaycommons.org/pc12/Protein_9e629e64f87b9fd36e209dbf212f7e86	http://pathwaycommons.org/pc12/Complex_955d2621fd9361d6464edf937634fa13	None	http://pathwaycommons.org/pc12/BiochemicalReaction_29b56f853d710dfe0ae1169979868bf7
http://pathwaycommons.org/pc12/Complex_2161170cb3891038fa5a06720b8225c7;http://pathwaycommons.org/pc12/Protein_00987e4fbb124b1eb72e588724e35caf	http://pathwaycommons.org/pc12/Complex_a2353ca544e8fb7801fcbb9b4a6744a8	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_28450b6f96367b77d2a2e387a0533319
None	http://pathwaycommons.org/pc12/Protein_d4d6725f9b94c31ef8862b2ef12a3a48	http://pathwaycommons.org/pc12/Complex_5aabd2f0cc15a6b96a4f73c6fd829626	None	http://pathwaycommons.org/pc12/TemplateReaction_35c6dca57ac03731adca91b4cd513789
None	http://pathwaycommons.org/pc12/Protein_24069f9bd13af98e9f0b564cb8775fa5	http://pathwaycommons.org/pc12/Complex_5aabd2f0cc15a6b96a4f73c6fd829626	None	http://pathwaycommons.org/pc12/TemplateReaction_ab6efc3cfcc9dce69a0b2a806cc2b495
http://pathwaycommons.org/pc12/Complex_0c2a26ece7532a5e1cb535a01fe57d51;http://pathwaycommons.org/pc12/Protein_07f7eb74d6d49ca8268ca2085a961209;http://pathwaycommons.org/pc12/Protein_37c9e19733da50a687a9037571fcaf5b	http://pathwaycommons.org/pc12/Complex_8e095d2dba0a2af520ef0ae012ad35bf	http://pathwaycommons.org/pc12/Pathway_1657702f4b0942c49740c8f5ca6cdba8	None	http://pathwaycommons.org/pc12/ComplexAssembly_c82aad6248fd2edb110ed99ecc30c299
http://pathwaycommons.org/pc12/Complex_0c2a26ece7532a5e1cb535a01fe57d51;http://pathwaycommons.org/pc12/Protein_eb1f3960e0cec36a2701322a85caad4c	http://pathwaycommons.org/pc12/Complex_e9e47b9e15db0ae6c3607738a86e1c67	None	None	http://pathwaycommons.org/pc12/ComplexAssembly_5246b107d3ff2854bac478dead4d9e24
None	http://pathwaycommons.org/pc12/Protein_ef42f1647d93829112cd17c79ea890cb	http://pathwaycommons.org/pc12/Complex_5aabd2f0cc15a6b96a4f73c6fd829626;http://pathwaycommons.org/pc12/Pathway_1657702f4b0942c49740c8f5ca6cdba8	None	http://pathwaycommons.org/pc12/TemplateReaction_fbe1f530f7cdbf808b61df9adfd72d8a
http://pathwaycommons.org/pc12/Complex_990524bf0132912f5ebf430f876a2e2b	http://pathwaycommons.org/pc12/Complex_83ad17c95786bc307d9d1fbd5505bab9	http://pathwaycommons.org/pc12/Protein_78a5b136836811d2ab84eee3c00a945c	None	http://pathwaycommons.org/pc12/BiochemicalReaction_237aa0c5f7467a9c0a64eb2655a14c40
http://pathwaycommons.org/pc12/Complex_6f711ae84bb2301156e04ba0065492bb;http://pathwaycommons.org/pc12/Complex_c352d607cb49b66a0aa6a826932dcfec	http://pathwaycommons.org/pc12/Complex_ce8c5e504ccc141ef8520a5c874f2222	None	http://pathwaycommons.org/pc12/Protein_520d12b03b504cc57a677455070ab1cf	http://pathwaycommons.org/pc12/ComplexAssembly_edaf5b746465b35f7e1f08f9661a67bf
http://pathwaycommons.org/pc12/Complex_990524bf0132912f5ebf430f876a2e2b	http://pathwaycommons.org/pc12/Complex_83ad17c95786bc307d9d1fbd5505bab9	http://pathwaycommons.org/pc12/Complex_4d15d9da514f0b5cd5efcf3396868e26	None	http://pathwaycommons.org/pc12/BiochemicalReaction_f125f044a7214b5e5c85422bd64e1f7e
