NC8N       Photon                 CN         CN         C6                                 2.000e-11  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    38 1  1
HC4N       Photon                 C2         CH         CN                                 2.000e-11  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    39 1  1
HC6N       Photon                 CH         CN         C4                                 2.000e-11  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    40 1  1
HC8N       Photon                 CH         CN         C6                                 2.000e-11  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    41 1  1
H2CSiCH    Photon                 H          c-HCCHSi                                      1.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    42 1  1
SiC2CH3    Photon                 H2         SiC3H                                         1.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    43 1  1
SiC3H5     Photon                 H2         H2         SiC3H                              1.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    44 1  1
SiC4H      Photon                 Si         C4H                                           1.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    45 1  1
SiC6H      Photon                 Si         C6H                                           1.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    46 1  1
SiC8H      Photon                 Si         C8H                                           1.000e-10  0.000e+00  2.300e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    47 1  1
CH3CH2OH   Photon                 C2H5OH+    e-                                            1.000e-09  0.000e+00  2.350e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    48 1  2
CH3CH2OH   Photon                 OH         C2H5                                          2.900e-09  0.000e+00  1.730e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    49 1  2
CH3CH2OH   Photon                 H2O        C2H4                                          1.380e-09  0.000e+00  1.730e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    50 1  1
CH3C4H     Photon                 CH3        C4H                                           2.000e-11  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    51 1  1
CH3OCH3    Photon                 CH3OCH3+   e-                                            4.600e-10  0.000e+00  2.280e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    52 1  2
CH3OCH3    Photon                 H2CO       CH4                                           1.500e-09  0.000e+00  1.600e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    53 1  2
C2+        Photon                 C          C+                                            1.000e-11  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    54 1  1
CH+        Photon                 H          C+                                            0.000e+00  0.000e+00  0.000e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2    55 1  2
CH+        Photon                 H          C+                                            0.000e+00  0.000e+00  0.000e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2    55 2  2
CH+        Photon                 C          H+                                            3.300e-10  0.000e+00  2.940e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2    56 1  2
CH+        Photon                 C          H+                                            2.500e-10  0.000e+00  2.940e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2    56 2  2
CH+        Photon                 C          H+                                            3.290e-10  0.000e+00  3.543e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    56 3  2
H2+        Photon                 H          H+                                            5.700e-10  0.000e+00  2.370e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2    57 1  2
H2+        Photon                 H          H+                                            5.720e-10  0.000e+00  2.780e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    57 2  2
OH+        Photon                 O          H+                                            1.100e-11  0.000e+00  3.500e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2    58 1  2
OH+        Photon                 O          H+                                            1.300e-11  0.000e+00  3.969e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    58 2  2
SiH+       Photon                 H          Si+                                           2.700e-09  0.000e+00  1.210e+00 1.50e+00 0.00e+00 logn  3  -9999   9999  2    59 1  2
SiH+       Photon                 H          Si+                                           2.590e-09  0.000e+00  1.554e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    59 2  2
C2H+       Photon                 H          C2+                                           1.000e-11  0.000e+00  2.000e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    60 1  1
CH2+       Photon                 H          CH+                                           1.400e-10  0.000e+00  2.210e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    61 1  2
CH2+       Photon                 H          CH+                                           1.410e-10  0.000e+00  2.727e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    61 2  2
H3+        Photon                 H2         H+                                            0.000e+00  0.000e+00  3.000e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    62 1  2
H3+        Photon                 H          H2+                                           0.000e+00  0.000e+00  3.000e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    63 1  2
CH3+       Photon                 H          CH2+                                          1.000e-09  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    64 1  1
CH3+       Photon                 H2         CH+                                           1.000e-09  0.000e+00  1.700e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    65 1  1
CN-        Photon                 CN         e-                                            2.400e-07  0.000e+00  9.000e-01 2.00e+00 0.00e+00 logn  3  -9999   9999  2    66 1  1
OH-        Photon                 OH         e-                                            2.400e-07  0.000e+00  9.000e-01 2.00e+00 0.00e+00 logn  3  -9999   9999  2    67 1  1
C          Photon                 C+         e-                                            3.100e-10  0.000e+00  3.330e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    68 1  2
C          Photon                 C+         e-                                            3.390e-10  0.000e+00  3.756e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    68 2  2
Cl         Photon                 Cl+        e-                                            4.730e-11  0.000e+00  4.301e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    69 1  2
Fe         Photon                 Fe+        e-                                            2.800e-10  0.000e+00  2.200e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    70 1  2
Fe         Photon                 Fe+        e-                                            4.710e-10  0.000e+00  2.617e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    70 2  2
Mg         Photon                 Mg+        e-                                            7.900e-11  0.000e+00  2.080e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    71 1  2
Mg         Photon                 Mg+        e-                                            6.590e-11  0.000e+00  2.429e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    71 2  2
Na         Photon                 Na+        e-                                            1.360e-11  0.000e+00  2.619e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    72 1  2
S          Photon                 S+         e-                                            6.000e-10  0.000e+00  3.080e+00 2.00e+00 0.00e+00 logn  3  -9999   9999  2    73 1  2
S          Photon                 S+         e-                                            1.130e-09  0.000e+00  3.519e+00 1.30e+00 0.00e+00 logn  3  -9999   9999  2    73 2  2
