HNC         0.000e+00 0.00e+00  2.050e+03 0.00e+00 1      H2O 1
HNC         0.000e+00 0.00e+00  3.800e+03 1.14e+03 1      H2O 2
HNO         0.000e+00 0.00e+00  2.050e+03 0.00e+00 1      H2O 1
HNO         0.000e+00 0.00e+00  3.000e+03 9.00e+02 1      H2O 2
HNSi        0.000e+00 0.00e+00  5.078e+03 0.00e+00 1      H2O 1
HPO         0.000e+00 0.00e+00  2.350e+03 0.00e+00 1      H2O 1
HSS         0.000e+00 0.00e+00  2.650e+03 0.00e+00 1      H2O 1
N2O         0.000e+00 0.00e+00  2.400e+03 0.00e+00 1      H2O 1
NaOH        0.000e+00 0.00e+00  1.465e+04 0.00e+00 1      H2O 1
NH2         0.000e+00 0.00e+00  3.956e+03 0.00e+00 1      H2O 1
NH2         0.000e+00 0.00e+00  3.200e+03 9.60e+02 1      H2O 2
NO2         0.000e+00 0.00e+00  2.400e+03 0.00e+00 1      H2O 1
O2H         0.000e+00 0.00e+00  3.650e+03 0.00e+00 1      H2O 1
O2H         0.000e+00 0.00e+00  5.000e+03 1.50e+03 1      H2O 2
OCN         0.000e+00 0.00e+00  2.400e+03 0.00e+00 1      H2O 1
OCS         0.000e+00 0.00e+00  2.888e+03 0.00e+00 1      H2O 1
OCS         0.000e+00 0.00e+00  2.400e+03 7.20e+02 1      H2O 2
PH2         0.000e+00 0.00e+00  2.000e+03 0.00e+00 1      H2O 1
c-SiC2      0.000e+00 0.00e+00  4.300e+03 0.00e+00 1      H2O 1
SiH2        0.000e+00 0.00e+00  3.600e+03 0.00e+00 1      H2O 1
SiNC        0.000e+00 0.00e+00  4.300e+03 0.00e+00 1      H2O 1
SiO2        0.000e+00 0.00e+00  4.300e+03 0.00e+00 1      H2O 1
SO2         0.000e+00 0.00e+00  3.405e+03 0.00e+00 1      H2O 1
SO2         0.000e+00 0.00e+00  3.400e+03 1.02e+03 1      H2O 2
CNO         1.200e+12 0.00e+00  2.400e+03 0.00e+00 0      H2O 1
C2H2        0.000e+00 0.00e+00  2.587e+03 0.00e+00 1      H2O 1
C2H2        0.000e+00 0.00e+00  2.587e+03 7.76e+02 1      H2O 2
C2H2        4.990e+15 0.00e+00  2.877e+03 0.00e+00 1 CompactA 2
C2H2        5.210e+15 0.00e+00  2.922e+03 0.00e+00 1 Graphite 2
c-C3H       0.000e+00 0.00e+00  2.937e+03 0.00e+00 1      H2O 1
c-C3H       0.000e+00 0.00e+00  5.200e+03 1.56e+03 1      H2O 2
C3N         0.000e+00 0.00e+00  3.200e+03 0.00e+00 1      H2O 1
C3O         0.000e+00 0.00e+00  2.750e+03 0.00e+00 1      H2O 1
C3P         0.000e+00 0.00e+00  5.900e+03 0.00e+00 1      H2O 1
C3S         0.000e+00 0.00e+00  3.500e+03 0.00e+00 1      H2O 1
C4          0.000e+00 0.00e+00  3.200e+03 0.00e+00 1      H2O 1
CH3         0.000e+00 0.00e+00  1.175e+03 0.00e+00 1      H2O 1
CH3         0.000e+00 0.00e+00  1.600e+03 4.80e+02 1      H2O 2
H2CN        0.000e+00 0.00e+00  2.400e+03 0.00e+00 1      H2O 1
H2CO        0.000e+00 0.00e+00  2.050e+03 0.00e+00 1      H2O 1
H2CO        0.000e+00 0.00e+00  4.500e+03 1.35e+03 1      H2O 2
H2CO        8.290e+16 0.00e+00  4.117e+03 0.00e+00 1 CompactA 2
H2CO        2.980e+16 0.00e+00  4.570e+03 0.00e+00 1  Olivine 2
H2CS        0.000e+00 0.00e+00  2.700e+03 0.00e+00 1      H2O 1
H2CS        0.000e+00 0.00e+00  4.400e+03 1.32e+03 1      H2O 2
HOOH        0.000e+00 0.00e+00  5.700e+03 0.00e+00 1      H2O 1
HOOH        0.000e+00 0.00e+00  6.000e+03 1.80e+03 1      H2O 2
HSSH        0.000e+00 0.00e+00  3.100e+03 0.00e+00 1      H2O 1
H2SiO       0.000e+00 0.00e+00  4.050e+03 0.00e+00 1      H2O 1
