HONC        0  1  0  1  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   116
HSCN        0  1  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   117
HCNS        0  1  0  1  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   118
HCCS        0  1  0  2  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   119
H2CCN       0  2  0  2  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   120
H2CCO       0  2  0  2  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   121
C2H3        0  3  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   122
c-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   123
C4H         0  1  0  4  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   124
C4N         0  0  0  4  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   125
C4P         0  0  0  4  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0   126
C4S         0  0  0  4  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   127
C5          0  0  0  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   128
HCOOH       0  2  0  1  0  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   129
CH2PH       0  3  0  1  0  0  0  0  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0   130
CH2NH       0  3  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   131
CH4         0  4  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   132
HCNCC       0  1  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   133
HCCNC       0  1  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   134
HC3N        0  1  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   135
HNCCC       0  1  0  3  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   136
NH2CN       0  2  0  1  2  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   137
c-HCCHSi    0  2  0  2  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   138
SiC3H       0  1  0  3  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   139
SiC4        0  0  0  4  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   140
SiCH3       0  3  0  1  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   141
SiH4        0  4  0  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   142
l-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   143
CH2OH       0  3  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   144
CH3O        0  3  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   145
CH3S        0  3  0  1  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   146
HC3S        0  1  0  3  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   147
H2CCS       0  2  0  2  0  0  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   148
t-C3H2      0  2  0  3  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0   149
